SOSR_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOSR101,1786,38620,41013,26984,18468,10123,3282,787,141071,413,4889,6628,5390,4556,2298,664,138,24990,26254,99586,76513,53125,38962,21760,8217,2599,327013,10690,33793,32332,28161,19496,11020,4579,1659,141720,21755,52103,50459,51220,40923,28634,15245,5057,265389,2010,2354,1895,1671,1222,810,278,85,10320,1929,4109,4712,5210,5127,4048,1795,546,27471,25693,58559,57075,58098,47266,33493,17315,5686,303187,1373,3487,3290,2871,2436,1871,962,375,16658,21654,31171,24144,20423,17030,14016,10050,5728,144223,87859,270097,240983,195062,148220,94581,45072,16977,1098857,3405,49197,39104,22585,13441,5932,1385,317,135362,1023,8497,9647,8286,7080,3493,864,193,39080,36571,126349,94004,60026,37646,18246,6559,2134,381537,14494,39495,41423,38479,27429,15562,6512,2436,185824,16050,30368,26726,24535,15778,6716,2393,1186,123751,2893,3273,4136,4125,3173,1549,450,181,19786,2603,4614,7471,9944,9170,6480,2540,1378,44203,21545,38257,38330,38601,28126,14745,5381,2748,187729,1285,3307,3342,3838,4117,3190,1637,771,21499,19764,28472,21448,19500,18579,17332,14610,12488,152185,98092,293569,247298,191317,136409,78490,36947,21091,1103214,5188,87816
SOSR102,102,2601,3282,2910,2562,1643,561,147,13816,59,602,916,962,1195,614,184,51,4578,2654,9944,8923,6719,6145,3855,1499,438,40177,1446,4796,6403,6531,5231,3351,1334,495,29584,8084,18752,18244,20095,18345,13863,7594,2429,107407,948,742,538,463,381,289,102,31,3491,473,772,948,1161,1363,1363,633,207,6924,9504,20271,19732,21723,20093,15510,8326,2668,117824,189,366,419,452,438,463,272,111,2720,4095,4021,3839,4586,4573,4865,4233,2468,32669,18047,42609,43508,43876,40239,30303,16411,6373,241371,179,3374,3695,2872,2304,1040,230,42,13743,185,1551,1854,1723,1993,862,214,50,8438,3962,15537,14114,9322,7555,4094,1491,365,56443,2824,7663,8915,9206,7709,4468,1815,554,43154,7266,11786,10468,10608,7115,2781,876,413,51306,1440,1077,1302,1285,1168,591,148,62,7067,885,1135,1774,2650,2954,2223,900,349,12869,9585,14000,13536,14543,11234,5602,1919,820,71235,194,378,447,643,933,939,463,220,4216,3944,3591,3561,4467,5345,6422,6537,5303,39180,20871,46096,46129,42776,37079,23438,12673,7353,236411,279,5980
SOSR111,0,163,259,233,198,108,36,3,1011,3,51,103,130,131,82,18,0,518,156,885,907,633,555,342,111,26,3615,124,626,758,713,619,339,131,36,3351,1281,3225,2711,2525,2186,1481,688,206,14305,134,135,74,67,41,24,4,3,486,56,91,95,130,149,116,65,17,735,1468,3456,2879,2719,2372,1627,755,226,15518,13,41,45,41,45,37,27,5,255,606,592,573,589,598,558,437,197,4159,2380,5827,5532,5054,4526,3095,1516,494,28426,13,307,318,259,193,62,21,9,1182,25,202,227,217,252,82,10,3,1013,370,1806,1557,988,798,423,152,41,6142,361,1085,1018,1053,872,449,165,48,5046,1213,2015,1648,1371,847,298,88,35,7524,253,240,202,170,146,66,20,3,1107,133,165,223,288,327,191,70,25,1419,1599,2421,2077,1826,1324,556,171,65,10048,19,61,57,89,99,83,38,23,467,565,594,506,563,669,764,740,410,4816,2957,6482,5757,5002,4207,2414,1300,589,28707,17,475
SOSR112,26,762,1124,1082,1115,863,354,86,5411,14,261,407,434,596,358,108,17,2196,706,3436,3379,2752,2804,1918,765,257,16020,363,1628,2226,2438,2335,1657,712,224,11572,4117,8888,7553,7894,7364,5588,2933,878,45213,597,449,283,277,191,135,54,11,1992,244,351,392,502,571,580,274,93,3011,4962,9684,8227,8672,8131,6299,3261,975,50224,90,174,149,149,187,214,141,45,1150,3157,3311,2791,2661,2651,2708,2057,1118,20445,9322,19250,18302,18188,17826,14015,7393,2723,107021,60,1187,1330,1196,1147,574,152,35,5686,87,684,810,870,1075,491,150,21,4185,1413,6265,5858,4271,3856,2308,1011,289,25264,1064,3040,3513,3905,3824,2474,1164,373,19361,3709,5979,4813,4860,3378,1373,402,192,24702,859,734,581,661,599,331,88,26,3883,444,567,787,1130,1376,1089,470,171,6035,5006,7275,6183,6656,5351,2795,961,390,34621,94,181,152,228,386,421,227,120,1808,2645,2134,1838,2455,2928,3430,3393,2415,21234,10367,20773,19686,19586,18568,12496,7056,3643,112168,89,1953
SOSR113,10,242,347,346,407,352,137,38,1877,11,95,155,159,285,181,64,13,961,266,1275,1225,1113,1354,1022,455,150,6855,192,812,1114,1303,1289,1086,475,159,6436,2243,5343,4982,5591,5462,4553,2581,749,31506,345,273,197,138,142,99,40,10,1239,127,239,262,294,392,411,239,66,2027,2713,5859,5448,6014,6002,5069,2859,818,34770,39,84,83,93,114,152,82,27,673,1625,1694,1473,1720,1842,2038,1776,1000,13161,4856,10057,9845,10744,11297,9884,5842,2217,64733,20,402,432,372,365,232,57,9,1893,35,272,340,379,454,224,67,13,1784,508,2502,2349,1760,1903,1178,484,143,10834,538,1578,1838,2052,2176,1417,662,199,10467,2082,3510,3054,3049,2347,935,293,122,15389,467,454,396,440,382,232,45,15,2422,223,372,427,757,902,743,284,108,3819,2766,4336,3880,4247,3632,1906,622,247,21627,39,95,98,143,243,288,170,67,1145,1378,1296,1252,1554,2070,2719,2743,2169,15172,5284,10475,10183,10509,10838,7970,4811,2846,62922,23,645
SOSR114,6,185,339,292,324,290,92,19,1556,8,82,129,186,261,161,40,11,874,205,1153,1401,1032,1205,947,372,112,6426,137,638,1017,1024,1055,933,405,113,5324,1882,4205,4138,4465,4581,3670,2004,519,25473,209,197,132,131,101,75,23,7,870,121,194,201,262,291,325,180,53,1630,2217,4593,4471,4859,4978,4066,2204,576,27974,44,62,81,74,77,108,65,25,539,1507,1260,1320,1552,1723,1919,1551,751,11586,4136,7976,8750,9006,9626,8421,4733,1617,54269,22,398,421,386,354,178,41,11,1800,29,252,348,299,430,223,57,13,1657,500,2420,2548,1772,1681,1095,457,133,10610,440,1345,1658,1769,1875,1313,559,179,9136,1566,2678,2534,2560,2031,882,226,96,12579,346,306,305,360,303,199,60,16,1897,198,292,443,617,699,613,253,62,3176,2114,3279,3280,3537,3034,1694,538,178,17649,38,63,72,108,181,221,137,55,869,1423,1146,1159,1528,1876,2299,2269,1478,13191,4571,8903,9490,9390,9426,7030,4059,2034,54907,29,581
SOSR115,13,298,452,546,591,509,161,31,2603,3,125,212,264,379,281,56,8,1328,299,1617,1867,1611,1830,1412,513,133,9292,227,991,1489,1615,1750,1426,533,136,8173,2888,6551,6369,6935,7366,5750,2828,765,39455,324,258,204,205,180,120,45,13,1344,145,261,331,371,505,502,220,74,2409,3361,7074,6906,7510,8053,6364,3089,845,43207,40,98,94,99,156,168,96,24,777,2189,1890,2026,2349,2716,2994,2210,1016,17390,6143,12092,13040,13997,15474,13164,6667,2204,82773,32,536,647,719,692,382,83,15,3105,55,362,516,608,755,387,66,20,2769,708,3445,3618,2699,2668,1739,632,222,15743,680,2109,2570,2924,3108,1929,802,248,14359,2205,4025,3682,3790,2936,1176,314,133,18263,471,537,490,516,480,283,67,10,2845,280,450,600,858,1042,873,316,124,4548,2952,5012,4774,5170,4458,2330,695,275,25655,52,95,113,193,328,321,154,69,1317,1930,1553,1732,2210,2748,3428,3038,2002,18661,6408,13113,13960,14521,14757,10516,5482,2843,81611,40,841
SOSR121,3,52,104,174,185,166,46,3,729,3,29,52,84,146,88,14,4,424,82,355,543,544,637,457,145,27,2790,45,252,408,523,530,386,149,17,2313,785,1569,1869,2250,2316,1660,696,162,11307,78,57,58,48,51,34,7,0,326,36,56,90,120,176,159,61,16,710,895,1681,2016,2415,2543,1853,760,183,12347,9,20,24,25,34,38,19,9,179,565,405,452,569,689,688,460,160,3982,1602,2793,3590,4334,4767,3688,1598,410,22771,4,119,208,176,227,110,18,0,867,3,103,136,172,239,107,19,3,779,160,781,1072,902,839,427,133,37,4351,155,532,740,897,952,548,182,38,4044,568,960,1048,1106,903,351,76,31,5037,125,102,138,134,146,74,19,7,749,77,109,184,278,318,226,55,24,1269,769,1175,1370,1522,1359,653,146,63,7056,3,21,32,52,77,105,38,11,336,517,382,458,583,774,839,577,257,4386,1620,3107,4012,4298,4464,2787,1121,410,21812,6,175
SOSR122,0,23,82,92,127,98,20,9,452,3,13,35,40,65,31,12,3,203,40,197,277,282,324,232,52,9,1427,32,128,226,284,306,218,74,21,1287,444,838,1010,1218,1344,1047,370,72,6358,50,37,37,24,31,21,12,0,211,20,32,55,85,90,70,28,3,382,518,908,1104,1329,1470,1145,404,79,6959,4,16,14,17,17,20,17,3,109,345,266,310,403,530,508,312,95,2767,942,1557,2044,2447,2846,2252,900,219,13199,4,66,101,127,111,81,14,0,502,0,51,84,76,121,62,6,0,401,75,393,568,455,483,267,81,14,2333,80,259,347,525,544,316,92,14,2184,303,514,590,624,506,193,29,17,2770,54,72,69,97,87,44,3,3,432,34,51,82,156,171,101,39,12,646,396,637,745,874,763,336,70,27,3850,7,15,14,31,50,53,12,6,186,316,246,292,403,525,491,358,149,2779,877,1670,2149,2491,2592,1616,632,213,12239,4,89
SOSR131,22,333,730,1178,1447,1259,354,69,5388,8,142,306,522,729,424,76,11,2221,631,2278,3355,3876,4476,3126,840,181,18755,396,1386,2613,3690,3600,2389,762,139,14977,4797,8598,10742,14231,13658,8880,3040,534,64472,441,302,327,374,351,207,45,8,2054,240,380,546,788,992,822,300,40,4112,5475,9276,11615,15391,15009,9909,3381,572,70635,87,113,164,235,307,289,129,21,1349,4298,3289,3825,5083,5516,4824,2506,733,30086,10925,16815,22601,29977,31080,22222,8049,1734,143408,89,764,1268,1543,1487,768,133,26,6060,48,436,890,1195,1486,643,105,16,4816,1153,5029,7098,6626,5989,3161,756,184,29986,1010,2733,4252,5907,5896,3249,894,215,24146,2885,4641,5256,6189,4375,1619,325,82,25376,639,595,801,913,820,408,77,9,4274,410,557,1018,1800,1850,1303,345,93,7380,3932,5796,7082,8908,7052,3331,747,191,37029,78,122,200,391,540,491,158,60,2040,3596,2341,3250,4647,5353,4640,2447,967,27238,9892,17221,24025,29211,27800,16284,5233,1648,131321,112,1093
