SUA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
1000,254155,7509,6159,4193,2366,274387,65527,3917,4502,2392,700,77046,9452,550,723,467,384,11573,329142,11978,11383,7051,3448,363003
1001,22882,3146,431,93,108,26667,4025,1456,228,40,22,5775,625,209,49,8,6,892,27534,4815,711,139,138,33337
1002,5494,637,343,28,54,6562,946,220,131,4,8,1307,156,36,27,3,8,217,6590,888,503,35,67,8089
1003,4951,2208,484,210,32,7891,814,729,139,177,13,1872,155,127,14,30,4,337,5917,3070,638,421,57,10102
1004,4006,433,372,38,28,4876,821,197,214,39,9,1283,138,27,28,14,4,206,4965,655,613,93,40,6371
1005,8379,963,344,28,52,9766,1528,439,211,10,41,2226,222,49,21,0,46,345,10125,1452,579,42,135,12333
1006,10640,755,196,62,82,11725,1511,250,93,47,9,1908,275,27,16,10,18,346,12420,1032,303,117,101,13977
1007,4781,89,70,13,13,4969,1754,70,98,3,5,1931,255,6,18,0,8,286,6792,164,184,18,23,7184
1008,4415,374,146,205,34,5167,875,245,114,171,6,1421,158,23,14,22,5,224,5455,650,277,403,44,6814
1009,77845,10310,6356,637,286,95433,12531,4059,2458,402,117,19562,2222,636,418,54,125,3464,92599,15006,9232,1100,520,118450
1010,15897,2362,1853,350,170,20638,2316,806,742,218,42,4131,426,143,126,43,49,781,18638,3310,2714,621,266,25549
1011,8579,621,654,60,37,9953,1756,320,456,19,14,2565,264,27,59,4,7,359,10597,964,1172,88,52,12879
1012,4306,1009,794,88,52,6240,1089,635,438,53,16,2230,158,70,70,16,3,320,5549,1710,1304,153,73,8794
1013,5505,497,192,36,19,6253,1527,310,148,41,8,2038,216,48,16,11,3,286,7248,852,353,87,37,8575
1014,4384,337,259,56,36,5072,1294,251,251,34,4,1829,167,26,37,3,6,237,5848,609,549,93,48,7143
1015,3848,226,484,34,22,4612,1121,144,260,35,9,1573,167,18,61,7,0,256,5129,397,805,76,36,6436
1016,3158,72,85,26,26,3366,1207,99,110,23,5,1443,160,11,14,10,14,204,4520,185,205,52,44,5015
1017,6841,980,459,75,38,8392,1324,486,221,93,13,2134,225,58,47,10,6,347,8390,1525,726,175,53,10869
1018,3144,258,66,21,10,3491,1025,217,55,13,6,1322,126,31,8,0,3,172,4300,507,126,35,12,4985
1019,6346,460,92,78,19,6992,1071,227,27,61,8,1388,193,27,3,17,9,252,7614,714,124,152,36,8632
1020,2940,153,96,24,12,3230,646,115,78,23,5,870,98,27,10,9,4,147,3683,290,187,62,21,4244
1021,3011,333,20,12,11,3382,702,164,10,3,3,883,101,25,0,0,5,130,3811,517,28,14,21,4395
1022,5656,1897,520,117,48,8252,903,524,214,60,19,1719,156,87,29,12,7,295,6715,2503,764,192,78,10257
1023,115702,14319,7453,546,485,138507,20236,5241,3286,351,196,29311,2916,673,489,165,182,4418,138858,20232,11230,1059,857,172235
1024,8871,773,222,79,66,10009,1739,453,109,78,44,2425,273,57,22,11,10,373,10881,1292,350,170,126,12808
1025,9629,889,305,15,46,10885,2114,452,221,10,21,2825,332,59,23,9,58,476,12074,1401,545,33,126,14179
1026,2613,80,132,14,19,2855,765,56,127,13,9,972,115,0,17,0,0,135,3491,138,273,26,30,3958
1027,10113,2210,1905,143,62,14430,1534,794,855,106,11,3294,260,120,128,21,7,537,11906,3125,2881,269,79,18260
1028,3931,394,145,29,15,4511,666,148,106,28,5,954,97,19,12,3,5,134,4691,558,262,57,32,5596
1029,5127,261,105,39,8,5551,1244,92,58,27,0,1418,211,13,35,4,3,270,6585,372,201,63,15,7236
1030,711170,178925,377924,6029,4280,1278331,84326,26543,55343,1320,785,168314,18534,6072,13587,494,1343,40025,814030,211538,446851,7848,6403,1486674
1031,9817,990,187,183,67,11244,2295,655,160,136,19,3258,356,114,23,20,13,521,12468,1761,363,332,100,15027
1032,6305,438,346,42,36,7174,1831,380,307,24,18,2561,235,42,36,18,13,348,8377,867,692,82,67,10084
1033,4192,324,102,88,21,4726,948,169,40,62,5,1222,151,27,3,15,3,202,5293,520,144,159,27,6154
1034,13603,591,1366,131,31,15718,2545,283,664,25,7,3528,431,40,93,9,4,581,16576,913,2125,161,49,19823
1035,61905,9670,10155,520,348,82598,10484,3126,3206,318,106,17238,1634,449,526,62,142,2809,74022,13245,13881,898,601,102649
