LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA10050,4679,629,275,31,12,3,43,5658
LGA10180,2126,242,111,25,3,3,21,2544
LGA10250,3840,477,162,43,3,3,33,4563
LGA10300,181,10,14,0,0,0,0,200
LGA10470,3585,537,246,47,8,3,39,4459
LGA10500,18198,1175,341,162,17,4,58,19947
LGA10550,2478,378,150,30,8,0,35,3088
LGA10600,951,124,74,11,0,0,9,1170
LGA10650,600,62,49,3,0,0,9,725
LGA10750,52157,3568,1612,896,77,40,223,58576
LGA10800,457,61,26,0,0,0,3,551
LGA10850,670,104,41,13,3,0,10,839
LGA10900,7899,817,329,67,19,0,57,9183
LGA10950,219,30,16,0,0,0,0,270
LGA11150,176,21,4,9,0,0,7,219
LGA11200,52,9,3,3,0,0,6,77
LGA11250,1050,221,96,21,0,0,13,1417
LGA11300,3771,255,52,38,0,0,13,4129
LGA11350,2782,329,107,27,6,0,15,3261
LGA11400,1335,149,75,14,0,0,14,1590
LGA11450,15863,1516,756,151,17,15,74,18391
LGA11500,20130,1700,836,389,58,22,131,23262
LGA11520,10084,646,153,45,4,0,20,10951
LGA11570,42974,2576,1080,616,42,25,144,47462
LGA11600,244,22,13,4,0,0,4,285
LGA11650,31385,4020,1819,332,66,34,251,37902
LGA11700,72,6,5,4,0,0,4,95
LGA11720,5208,868,437,101,22,10,77,6727
LGA11730,3527,589,274,69,10,3,50,4532
LGA11750,283,54,29,0,0,0,3,373
LGA11800,6297,879,341,82,21,9,70,7698
LGA12000,368,38,25,6,0,0,10,444
LGA12150,229,18,17,7,0,0,4,279
LGA12160,832,107,42,18,0,4,21,1021
LGA12350,927,113,65,11,6,0,7,1129
LGA12380,27706,1413,520,346,35,11,69,30097
LGA12390,4405,689,284,64,13,7,57,5527
LGA12700,908,126,54,8,6,0,16,1119
LGA12730,625,76,45,11,0,0,13,769
LGA12750,2465,380,149,24,14,0,43,3071
