SOSR_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR101,6884,34712,50441,38092,33286,31650,25543,14305,4460,239388,3871,36117,70535,50853,44591,39038,23211,10580,3357,282142,1873,33738,93695,66770,54943,46707,24005,8659,2234,332626,572,20839,81994,58081,45532,35422,15890,5020,1356,264702,294,9961,72145,57679,44538,32451,13068,4156,1181,235474,152,4205,51782,49476,37948,25943,9210,2801,777,182303,125,3624,84686,113458,79810,47654,14053,3945,1084,348437,63,575,15212,32426,24417,13152,4087,1300,410,91641,84,660,18827,61288,63209,33476,10342,3506,1097,192494,14310,20948,52800,42374,31607,25957,21835,20248,19857,249940,261971,313934,753648,714513,596518,509021,377790,213068,92069,3832530
SOSR102,2163,9082,10775,8721,8657,9364,9481,5387,1637,65273,1123,9278,14957,11184,11494,11442,7624,3331,1060,71484,503,6971,18221,14324,14469,13565,7300,2376,565,78306,158,3845,14941,12412,11476,9636,4102,1142,274,57991,58,1679,12618,11562,11058,8442,2967,997,325,49705,22,672,8618,10085,9421,6693,1807,467,128,37923,21,583,11314,18867,17915,10991,2499,573,122,62877,9,63,1620,3912,3947,2345,588,161,50,12690,32,95,1612,5453,6582,4180,1296,537,188,19970,3361,3739,7474,6699,6414,6111,6750,7272,6812,54645,61418,66135,132466,130034,132254,131061,114242,71267,30494,869377
SOSR111,447,1675,2320,1814,1620,1690,1731,949,255,12497,255,1785,3424,2510,2338,2209,1431,570,199,14718,106,1290,3801,3117,2916,2526,1233,399,72,15453,29,672,2817,2427,2116,1680,669,181,43,10633,11,299,2222,2049,1869,1395,475,180,69,8567,3,144,1386,1698,1605,1120,289,76,15,6332,0,116,1744,2882,2699,1608,373,84,24,9523,0,19,234,475,499,316,104,25,10,1678,4,26,245,644,721,478,179,74,32,2416,718,669,1596,1381,1241,1168,1166,1222,918,10076,11534,11277,25933,24467,23325,22736,20378,12040,4715,156414
SOSR112,1245,4093,6087,4715,4318,4605,4949,3117,1005,34137,750,4658,8881,6342,6204,6119,3984,1869,630,39431,324,3419,9862,7619,7211,6831,3862,1445,354,40929,95,1774,6945,5560,5330,4645,2099,672,182,27308,29,801,5285,4923,4661,3868,1491,649,232,21938,14,327,3595,3940,3896,2900,912,304,91,15984,11,318,4101,6635,6901,4596,1226,328,86,24202,3,27,562,1078,1230,945,290,108,38,4278,26,68,577,1520,1978,1543,657,304,115,6776,2554,2833,5937,4965,4421,3810,3896,3959,3306,35681,31027,30457,67805,60489,60830,62954,59320,38241,16410,427530
SOSR113,461,1622,2622,2079,2071,2407,2525,1449,442,15682,266,1733,3250,2593,2676,2741,1989,901,265,16412,119,1127,3449,2883,3046,3001,1847,665,159,16297,50,598,2308,2080,2146,1917,924,322,64,10410,20,310,1885,1865,1837,1682,697,307,98,8691,5,165,1312,1451,1599,1230,393,106,31,6287,3,153,1897,2676,2735,2033,513,124,42,10180,0,27,334,570,548,447,119,43,12,2103,12,25,310,744,861,679,302,141,45,3109,1108,1069,2531,2233,2051,2003,2162,2100,1691,16949,12787,11479,26977,25839,27435,31098,30922,19095,7856,193489
SOSR114,643,1825,2732,2281,2210,2694,2584,1707,495,17169,365,2127,3729,3081,3029,3227,2023,1036,304,18923,149,1622,4143,3502,3536,3508,1902,668,169,19199,47,848,2936,2570,2532,2191,1008,343,63,12546,20,388,2450,2281,2215,1792,719,298,106,10269,13,189,1678,1843,1793,1296,401,139,38,7396,11,149,2218,3233,3161,1946,515,149,44,11418,0,14,299,543,547,384,122,45,13,1965,14,31,300,755,806,615,301,137,59,3013,1189,1114,2478,2281,2146,2204,2371,2382,1821,17986,14190,13258,30040,28809,29552,32999,33212,21969,9144,213174
SOSR115,856,2391,3576,3071,3266,3955,4389,2350,717,24571,512,2567,4736,4059,4420,4740,3215,1368,386,26003,302,1878,5185,4506,4810,5227,3072,972,216,26160,97,1011,3712,3439,3547,3478,1678,427,105,17487,33,458,3115,3203,3177,2780,1101,428,150,14434,16,227,2095,2520,2606,2076,675,133,51,10404,4,228,2638,4401,4473,3138,789,187,50,15906,0,30,416,837,842,597,192,63,16,2992,28,45,366,944,1252,954,454,206,53,4311,1733,1488,3411,3313,3327,3564,4023,3608,2397,26860,19681,16491,38468,39268,42877,51481,52903,31139,11859,304163
SOSR121,217,608,835,803,974,1128,1196,550,117,6441,124,649,1070,1070,1189,1350,849,312,73,6681,45,472,1243,1186,1406,1514,800,239,34,6942,19,254,940,967,1124,1028,472,114,20,4936,14,93,761,851,948,836,361,108,32,3992,0,41,498,733,835,661,178,39,6,2999,0,28,616,1241,1519,1015,239,44,9,4711,0,0,94,252,253,202,76,20,3,899,4,14,83,314,460,330,154,45,4,1416,517,342,751,816,826,967,1121,774,405,6520,5735,4192,9347,10674,12789,14998,14096,6858,2080,80771
SOSR122,85,286,430,399,505,670,498,225,64,3158,52,316,556,471,618,735,404,163,33,3350,24,230,596,591,694,857,394,100,25,3514,9,121,403,447,541,498,220,50,14,2306,3,64,336,337,439,385,164,67,12,1814,0,26,216,302,324,319,104,23,4,1323,0,28,276,523,592,452,111,26,3,2010,0,0,37,101,109,86,38,5,0,373,0,11,35,130,181,166,83,25,0,623,344,208,508,490,627,730,724,453,189,4268,2599,2187,4676,5073,6515,8463,7524,3607,1000,41640
SOSR131,1708,3365,4216,4334,5579,6664,5756,2504,481,34608,1061,3892,5460,5456,7247,8127,5099,1818,336,38500,507,3050,6420,6419,8638,9136,5076,1488,218,40954,152,1628,4594,5118,6559,6270,3114,754,114,28307,77,830,3907,4861,6245,5557,2515,688,150,24835,21,363,2569,3822,5077,4287,1660,430,56,18282,21,294,3376,7157,9495,6898,2206,528,81,30056,3,37,549,1555,2169,1638,620,204,36,6825,28,63,694,2528,4446,3734,1670,511,89,13755,3842,2824,5911,6664,7794,8657,7217,4124,1411,48443,36426,25946,50478,62140,83164,95316,77284,33967,8221,472950
